index,class_representation,visual_fidelity,structural_integrity,diversity,beneficial_variations,explanation,filename,class_name,real_filename
3,0.7,0.7,0.8,0.8,0.8,"The image maintains a good representation of a bicycle with some creative modifications. The visual quality is good, and the structure is mostly intact.",aug-1-2.png,bicycle,2008_005839.jpg
4,0.6,0.5,0.7,0.7,0.6,The image has a recognizable bicycle form but includes additional elements that may confuse the classification. The visual quality is moderate with some distortions.,aug-1-3.png,bicycle,2008_005839.jpg
5,0.8,0.8,0.9,0.9,0.9,"The image maintains a strong representation of a bicycle with some creative modifications. The visual quality is high, and the structure is well-preserved.",aug-1-4.png,bicycle,2008_005839.jpg
6,0.9,0.9,0.9,0.9,0.9,The image is a clear representation of a bicycle with high visual quality and structural integrity. The variations are meaningful and beneficial for generalization.,aug-1-5.png,bicycle,2008_005839.jpg
7,0.8,0.8,0.8,0.8,0.8,"The image maintains a good representation of a bicycle with some creative modifications. The visual quality is high, and the structure is well-preserved.",aug-1-6.png,bicycle,2008_005839.jpg
8,0.7,0.7,0.7,0.7,0.7,"The image maintains a recognizable bicycle form with some creative modifications. The visual quality is good, and the structure is mostly intact.",aug-1-7.png,bicycle,2008_005839.jpg
9,0.6,0.5,0.6,0.7,0.6,The image has a recognizable bicycle form but includes additional elements that may confuse the classification. The visual quality is moderate with some distortions.,aug-1-8.png,bicycle,2008_005839.jpg
10,0.7,0.6,0.7,0.8,0.7,The image maintains the core features of a bicycle but introduces some elements that make it look more like a motorbike. The visual quality is decent but has some artifacts.,aug-1-9.png,bicycle,2008_005839.jpg
1,1.0,0.9,1.0,0.2,0.3,"The image maintains the core features and structure of the bird class. The visual fidelity is high, but the diversity and beneficial variations are low as it is very similar to the reference image.",aug-2-0.png,bird,2010_000075.jpg
2,1.0,0.8,1.0,0.3,0.4,The image maintains the core features and structure of the bird class. The visual fidelity is slightly lower due to minor artifacts. The diversity and beneficial variations are slightly better than the first augmented image.,aug-2-1.png,bird,2010_000075.jpg
3,0.0,0.0,0.0,1.0,1.0,"The image does not represent the bird class at all. It is a completely different object (roof), hence scoring zero in class representation, visual fidelity, and structural integrity. However, it scores high in diversity and beneficial variations as it is entirely different.",aug-2-2.png,bird,2010_000075.jpg
4,1.0,0.9,1.0,0.2,0.3,"The image maintains the core features and structure of the bird class. The visual fidelity is high, but the diversity and beneficial variations are low as it is very similar to the reference image.",aug-2-3.png,bird,2010_000075.jpg
5,0.0,0.0,0.0,1.0,1.0,"The image does not represent the bird class at all. It is a completely different object (roof), hence scoring zero in class representation, visual fidelity, and structural integrity. However, it scores high in diversity and beneficial variations as it is entirely different.",aug-2-4.png,bird,2010_000075.jpg
6,0.5,0.5,0.5,0.7,0.7,"The image partially represents the bird class but is heavily obscured and distorted. The visual fidelity and structural integrity are compromised, but it introduces some diversity and beneficial variations.",aug-2-5.png,bird,2010_000075.jpg
7,0.0,0.0,0.0,1.0,1.0,"The image does not represent the bird class at all. It is a completely different object (roof), hence scoring zero in class representation, visual fidelity, and structural integrity. However, it scores high in diversity and beneficial variations as it is entirely different.",aug-2-6.png,bird,2010_000075.jpg
8,1.0,0.9,1.0,0.2,0.3,"The image maintains the core features and structure of the bird class. The visual fidelity is high, but the diversity and beneficial variations are low as it is very similar to the reference image.",aug-2-7.png,bird,2010_000075.jpg
9,0.5,0.5,0.5,0.7,0.7,"The image partially represents the bird class but is heavily obscured and distorted. The visual fidelity and structural integrity are compromised, but it introduces some diversity and beneficial variations.",aug-2-8.png,bird,2010_000075.jpg
10,0.0,0.0,0.0,1.0,1.0,"The image does not represent the bird class at all. It is a completely different object (roof), hence scoring zero in class representation, visual fidelity, and structural integrity. However, it scores high in diversity and beneficial variations as it is entirely different.",aug-2-9.png,bird,2010_000075.jpg
1,0.3,0.4,0.5,0.8,0.7,"The image features a large cruise ship, which is a different type of boat compared to the reference. The presence of people adds context but distracts from the boat itself.",aug-3-0.png,boat,2008_006065.jpg
2,1.0,0.9,1.0,0.2,0.3,"This image is very similar to the reference image, maintaining the same type of boat and context. Minor variations in lighting and angle are present.",aug-3-1.png,boat,2008_006065.jpg
3,0.4,0.6,0.7,0.7,0.6,"The image features multiple large cruise ships, which are different from the reference boat. The context is relevant but the structural integrity is somewhat compromised due to the crowded scene.",aug-3-2.png,boat,2008_006065.jpg
4,1.0,0.9,1.0,0.3,0.4,"This image is very similar to the reference image, maintaining the same type of boat and context. Minor variations in the background and lighting are present.",aug-3-3.png,boat,2008_006065.jpg
5,0.5,0.8,0.9,0.8,0.7,"The image features a large cruise ship, which is a different type of boat compared to the reference. The context is appropriate but the structural integrity is slightly different.",aug-3-4.png,boat,2008_006065.jpg
6,1.0,0.9,1.0,0.3,0.4,"This image is very similar to the reference image, maintaining the same type of boat and context. Minor variations in the background and lighting are present.",aug-3-5.png,boat,2008_006065.jpg
7,1.0,0.9,1.0,0.3,0.4,"This image is very similar to the reference image, maintaining the same type of boat and context. Minor variations in the background and lighting are present.",aug-3-6.png,boat,2008_006065.jpg
8,1.0,0.9,1.0,0.3,0.4,"This image is very similar to the reference image, maintaining the same type of boat and context. Minor variations in the background and lighting are present.",aug-3-7.png,boat,2008_006065.jpg
9,1.0,0.9,1.0,0.3,0.4,"This image is very similar to the reference image, maintaining the same type of boat and context. Minor variations in the background and lighting are present.",aug-3-8.png,boat,2008_006065.jpg
10,1.0,0.9,1.0,0.3,0.4,"This image is very similar to the reference image, maintaining the same type of boat and context. Minor variations in the background and lighting are present.",aug-3-9.png,boat,2008_006065.jpg
1,0.5,0.4,0.3,0.7,0.6,"The image contains bottles, but they are distorted and not clearly distinguishable. The visual quality is low, and the structure is compromised. However, it introduces some diversity.",aug-4-0.png,bottle,2009_001937.jpg
2,0.8,0.7,0.8,0.6,0.7,"The image maintains the class representation well with clear bottles. The visual quality is decent, and the structure is mostly intact. It introduces moderate diversity and beneficial variations.",aug-4-1.png,bottle,2009_001937.jpg
3,0.7,0.6,0.7,0.6,0.7,"The image has bottles that are recognizable, but the visual quality is slightly lower. The structure is mostly maintained, and it introduces some diversity and beneficial variations.",aug-4-2.png,bottle,2009_001937.jpg
4,0.3,0.3,0.4,0.5,0.4,"The image is less clear with distorted bottles. The visual quality is low, and the structure is compromised. It introduces some diversity but not in a beneficial way.",aug-4-3.png,bottle,2009_001937.jpg
5,0.2,0.2,0.3,0.4,0.3,"The image is highly distorted and unclear. The visual quality is poor, and the structure is not well maintained. It introduces some diversity but not beneficially.",aug-4-4.png,bottle,2009_001937.jpg
6,0.8,0.7,0.8,0.7,0.8,"The image maintains the class representation well with clear bottles. The visual quality is good, and the structure is mostly intact. It introduces good diversity and beneficial variations.",aug-4-5.png,bottle,2009_001937.jpg
7,0.7,0.6,0.7,0.6,0.7,"The image has recognizable bottles, but the visual quality is slightly lower. The structure is mostly maintained, and it introduces some diversity and beneficial variations.",aug-4-6.png,bottle,2009_001937.jpg
8,0.4,0.4,0.5,0.5,0.5,"The image is somewhat clear but has distorted bottles. The visual quality is moderate, and the structure is partially maintained. It introduces some diversity and beneficial variations.",aug-4-7.png,bottle,2009_001937.jpg
9,0.4,0.4,0.5,0.5,0.5,"The image is somewhat clear but has distorted bottles. The visual quality is moderate, and the structure is partially maintained. It introduces some diversity and beneficial variations.",aug-4-8.png,bottle,2009_001937.jpg
10,0.5,0.5,0.6,0.6,0.6,"The image is clearer with recognizable bottles. The visual quality is moderate, and the structure is mostly maintained. It introduces some diversity and beneficial variations.",aug-4-9.png,bottle,2009_001937.jpg
1,0.8,0.7,0.8,0.6,0.7,"The image maintains the core features of a bus, but the text and some details are altered. The visual quality is decent, and the structure is mostly intact. There is some beneficial variation in context and minor details.",aug-5-0.png,bus,2008_003373.jpg
2,0.3,0.4,0.3,0.5,0.4,"The image is heavily distorted and contains multiple vehicles merged together, making it hard to distinguish a single bus. The visual quality is poor, and the structure is compromised.",aug-5-1.png,bus,2008_003373.jpg
3,0.9,0.8,0.9,0.5,0.6,"This image closely resembles the reference bus with minor changes in text and color. The visual quality is good, and the structure is well-maintained. There is moderate diversity and beneficial variation.",aug-5-2.png,bus,2008_003373.jpg
4,0.0,0.2,0.0,0.1,0.0,"The image does not contain a bus and is irrelevant to the class. The visual quality is decent, but it does not contribute to the classification task.",aug-5-3.png,bus,2008_003373.jpg
5,0.0,0.2,0.0,0.1,0.0,"The image does not contain a bus and is irrelevant to the class. The visual quality is decent, but it does not contribute to the classification task.",aug-5-4.png,bus,2008_003373.jpg
6,0.0,0.2,0.0,0.1,0.0,"The image does not contain a bus and is irrelevant to the class. The visual quality is decent, but it does not contribute to the classification task.",aug-5-5.png,bus,2008_003373.jpg
7,0.7,0.6,0.7,0.6,0.7,"The image maintains the core features of a bus, but the text and some details are altered. The visual quality is decent, and the structure is mostly intact. There is some beneficial variation in context and minor details.",aug-5-6.png,bus,2008_003373.jpg
8,0.8,0.7,0.8,0.6,0.7,"The image maintains the core features of a bus, but the text and some details are altered. The visual quality is decent, and the structure is mostly intact. There is some beneficial variation in context and minor details.",aug-5-7.png,bus,2008_003373.jpg
9,0.8,0.7,0.8,0.6,0.7,"The image maintains the core features of a bus, but the text and some details are altered. The visual quality is decent, and the structure is mostly intact. There is some beneficial variation in context and minor details.",aug-5-8.png,bus,2008_003373.jpg
10,0.8,0.7,0.8,0.6,0.7,"The image maintains the core features of a bus, but the text and some details are altered. The visual quality is decent, and the structure is mostly intact. There is some beneficial variation in context and minor details.",aug-5-9.png,bus,2008_003373.jpg
1,1.0,1.0,1.0,0.8,0.8,"The image clearly represents a car with high visual fidelity and structural integrity. The car is different in color and context, providing beneficial variations.",aug-6-0.png,car,2008_002473.jpg
2,1.0,1.0,1.0,0.8,0.8,"The image maintains the core features of a car with excellent visual fidelity and structural integrity. The color and context are different, adding beneficial variations.",aug-6-1.png,car,2008_002473.jpg
3,0.7,0.7,0.6,0.9,0.7,"The image represents a car but has some distortions and artifacts, affecting visual fidelity and structural integrity. The diversity and variations are high.",aug-6-2.png,car,2008_002473.jpg
4,1.0,1.0,1.0,0.8,0.8,"The image clearly represents a car with high visual fidelity and structural integrity. The car is different in color and context, providing beneficial variations.",aug-6-3.png,car,2008_002473.jpg
5,1.0,1.0,1.0,0.8,0.8,"The image maintains the core features of a car with excellent visual fidelity and structural integrity. The color and context are different, adding beneficial variations.",aug-6-4.png,car,2008_002473.jpg
6,0.7,0.7,0.6,0.9,0.7,"The image represents a car but has some distortions and artifacts, affecting visual fidelity and structural integrity. The diversity and variations are high.",aug-6-5.png,car,2008_002473.jpg
7,0.7,0.7,0.6,0.9,0.7,"The image represents a car but has some distortions and artifacts, affecting visual fidelity and structural integrity. The diversity and variations are high.",aug-6-6.png,car,2008_002473.jpg
8,1.0,1.0,1.0,0.8,0.8,"The image clearly represents a car with high visual fidelity and structural integrity. The car is different in color and context, providing beneficial variations.",aug-6-7.png,car,2008_002473.jpg
9,0.7,0.7,0.6,0.9,0.7,"The image represents a car but has some distortions and artifacts, affecting visual fidelity and structural integrity. The diversity and variations are high.",aug-6-8.png,car,2008_002473.jpg
10,1.0,1.0,1.0,0.8,0.8,"The image maintains the core features of a car with excellent visual fidelity and structural integrity. The color and context are different, adding beneficial variations.",aug-6-9.png,car,2008_002473.jpg
1,0.8,0.7,0.8,0.5,0.6,The image maintains the core features of a cat but has some visual artifacts and slight distortions.,aug-7-0.png,cat,2009_001270.jpg
2,0.4,0.3,0.5,0.7,0.6,"The image has significant artifacts and unrealistic elements, making it less distinguishable as a cat.",aug-7-1.png,cat,2009_001270.jpg
3,0.6,0.5,0.6,0.6,0.7,"The image is somewhat distorted and has visual artifacts, but still maintains some cat-like features.",aug-7-2.png,cat,2009_001270.jpg
4,0.7,0.6,0.7,0.6,0.7,The image is slightly distorted but maintains the core features of a cat with some beneficial variations.,aug-7-3.png,cat,2009_001270.jpg
5,0.7,0.6,0.7,0.6,0.7,The image has some visual artifacts but maintains the core features of a cat with beneficial variations.,aug-7-4.png,cat,2009_001270.jpg
6,0.6,0.5,0.6,0.6,0.7,"The image is somewhat distorted and has visual artifacts, but still maintains some cat-like features.",aug-7-5.png,cat,2009_001270.jpg
7,0.7,0.6,0.7,0.6,0.7,The image has some visual artifacts but maintains the core features of a cat with beneficial variations.,aug-7-6.png,cat,2009_001270.jpg
8,0.7,0.6,0.7,0.6,0.7,The image has some visual artifacts but maintains the core features of a cat with beneficial variations.,aug-7-7.png,cat,2009_001270.jpg
9,0.7,0.6,0.7,0.6,0.7,The image has some visual artifacts but maintains the core features of a cat with beneficial variations.,aug-7-8.png,cat,2009_001270.jpg
10,0.7,0.6,0.7,0.6,0.7,The image has some visual artifacts but maintains the core features of a cat with beneficial variations.,aug-7-9.png,cat,2009_001270.jpg
1,0.8,0.9,0.9,0.7,0.8,"The image clearly represents a chair with high visual fidelity and structural integrity. The design is different from the reference, providing beneficial variations.",aug-8-0.png,chair,2011_002709.jpg
2,0.8,0.8,0.9,0.7,0.8,"The image maintains the core features of a chair with good visual fidelity and structural integrity. The design and context are different, adding beneficial variations.",aug-8-1.png,chair,2011_002709.jpg
3,0.7,0.7,0.8,0.6,0.7,"The image represents a chair but with some visual artifacts. The structure is mostly intact, and the design is different enough to provide beneficial variations.",aug-8-2.png,chair,2011_002709.jpg
4,0.4,0.5,0.5,0.5,0.4,"The image is distorted and contains artifacts, making it harder to distinguish as a chair. The structure is compromised, and the variations are less beneficial.",aug-8-3.png,chair,2011_002709.jpg
5,0.3,0.4,0.4,0.4,0.3,"The image is highly distorted with significant artifacts, making it difficult to identify as a chair. The structure is compromised, and the variations are not beneficial.",aug-8-4.png,chair,2011_002709.jpg
6,0.5,0.6,0.6,0.5,0.5,"The image has some distortion and artifacts but still somewhat represents a chair. The structure is partially intact, and the variations are moderately beneficial.",aug-8-5.png,chair,2011_002709.jpg
7,0.6,0.7,0.7,0.6,0.6,"The image represents a chair with some visual artifacts. The structure is mostly intact, and the design is different enough to provide beneficial variations.",aug-8-6.png,chair,2011_002709.jpg
8,0.4,0.5,0.5,0.5,0.4,"The image is distorted and contains artifacts, making it harder to distinguish as a chair. The structure is compromised, and the variations are less beneficial.",aug-8-7.png,chair,2011_002709.jpg
9,0.9,0.9,0.9,0.8,0.9,"The image clearly represents a chair with high visual fidelity and structural integrity. The design is different from the reference, providing beneficial variations.",aug-8-8.png,chair,2011_002709.jpg
10,0.3,0.4,0.4,0.4,0.3,"The image is highly distorted with significant artifacts, making it difficult to identify as a chair. The structure is compromised, and the variations are not beneficial.",aug-8-9.png,chair,2011_002709.jpg
1,0.2,0.3,0.2,0.5,0.4,"The image has significant distortions and artifacts, making it difficult to identify the subject as a cow. The visual fidelity is low due to the unnatural appearance and context.",aug-9-0.png,cow,2011_001653.jpg
2,0.4,0.5,0.4,0.6,0.5,"The image shows some features of cows but is heavily distorted. The visual quality is slightly better, but the structural integrity is compromised.",aug-9-1.png,cow,2011_001653.jpg
3,0.3,0.4,0.3,0.7,0.5,"The image is blurry and the cows are not clearly distinguishable. The structural integrity is poor, and the visual fidelity is low.",aug-9-2.png,cow,2011_001653.jpg
4,0.5,0.6,0.5,0.8,0.6,"The image maintains some cow-like features but is still distorted. The visual fidelity is moderate, and the structural integrity is somewhat preserved.",aug-9-3.png,cow,2011_001653.jpg
5,0.3,0.4,0.3,0.7,0.5,"The image is blurry and the cows are not clearly distinguishable. The structural integrity is poor, and the visual fidelity is low.",aug-9-4.png,cow,2011_001653.jpg
6,0.2,0.3,0.2,0.5,0.4,"The image has significant distortions and artifacts, making it difficult to identify the subject as a cow. The visual fidelity is low due to the unnatural appearance and context.",aug-9-5.png,cow,2011_001653.jpg
7,0.4,0.5,0.4,0.6,0.5,"The image shows some features of cows but is heavily distorted. The visual quality is slightly better, but the structural integrity is compromised.",aug-9-6.png,cow,2011_001653.jpg
8,0.3,0.4,0.3,0.7,0.5,"The image is blurry and the cows are not clearly distinguishable. The structural integrity is poor, and the visual fidelity is low.",aug-9-7.png,cow,2011_001653.jpg
9,0.5,0.6,0.5,0.8,0.6,"The image maintains some cow-like features but is still distorted. The visual fidelity is moderate, and the structural integrity is somewhat preserved.",aug-9-8.png,cow,2011_001653.jpg
10,0.4,0.5,0.4,0.6,0.5,"The image shows some features of cows but is heavily distorted. The visual quality is slightly better, but the structural integrity is compromised.",aug-9-9.png,cow,2011_001653.jpg
1,1.0,0.9,1.0,0.8,0.8,"The image maintains the core semantic content of a dining table with people eating. The visual quality is high, and the structure is intact. There is some diversity in the setting and participants.",aug-10-0.png,dining table,2008_002960.jpg
2,0.8,0.7,0.9,0.7,0.7,"The image shows a dining table with children, which is less common but still relevant. The visual quality is slightly lower, and the structure is mostly intact. There is moderate diversity and beneficial variations.",aug-10-1.png,dining table,2008_002960.jpg
3,1.0,0.9,1.0,0.8,0.8,"The image maintains the core semantic content of a dining table with people eating. The visual quality is high, and the structure is intact. There is some diversity in the setting and participants.",aug-10-2.png,dining table,2008_002960.jpg
4,1.0,0.9,1.0,0.7,0.8,"The image maintains the core semantic content of a dining table with people eating. The visual quality is high, and the structure is intact. There is some diversity in the setting and participants.",aug-10-3.png,dining table,2008_002960.jpg
5,0.5,0.6,0.7,0.9,0.9,"The image shows food on a table but lacks the presence of people, which is a key feature of the dining table class. The visual quality is moderate, and the structure is somewhat intact. There is high diversity and beneficial variations.",aug-10-4.png,dining table,2008_002960.jpg
6,1.0,0.9,1.0,0.8,0.8,"The image maintains the core semantic content of a dining table with people eating. The visual quality is high, and the structure is intact. There is some diversity in the setting and participants.",aug-10-5.png,dining table,2008_002960.jpg
7,1.0,0.9,1.0,0.8,0.8,"The image maintains the core semantic content of a dining table with people eating. The visual quality is high, and the structure is intact. There is some diversity in the setting and participants.",aug-10-6.png,dining table,2008_002960.jpg
8,1.0,0.9,1.0,0.8,0.8,"The image maintains the core semantic content of a dining table with people eating. The visual quality is high, and the structure is intact. There is some diversity in the setting and participants.",aug-10-7.png,dining table,2008_002960.jpg
9,0.3,0.5,0.5,0.9,0.9,"The image shows a table but lacks food and people, which are key features of the dining table class. The visual quality is moderate, and the structure is somewhat intact. There is high diversity and beneficial variations.",aug-10-8.png,dining table,2008_002960.jpg
10,1.0,0.9,1.0,0.8,0.8,"The image maintains the core semantic content of a dining table with people eating. The visual quality is high, and the structure is intact. There is some diversity in the setting and participants.",aug-10-9.png,dining table,2008_002960.jpg
1,1.0,1.0,1.0,0.8,0.8,"The image clearly depicts a dog with high visual fidelity and structural integrity. The setting is different from the reference, providing beneficial variations.",aug-11-0.png,dog,2010_005419.jpg
2,0.9,0.8,0.9,0.7,0.7,"The image maintains the core features of a dog but has some visual artifacts. The setting is similar to the reference, with slight beneficial variations.",aug-11-1.png,dog,2010_005419.jpg
3,0.9,0.7,0.9,0.7,0.7,"The image maintains the core features of a dog but has some visual artifacts. The setting is similar to the reference, with slight beneficial variations.",aug-11-2.png,dog,2010_005419.jpg
4,1.0,1.0,1.0,0.8,0.8,"The image clearly depicts a dog with high visual fidelity and structural integrity. The setting is different from the reference, providing beneficial variations.",aug-11-3.png,dog,2010_005419.jpg
5,0.9,0.7,0.9,0.7,0.7,"The image maintains the core features of a dog but has some visual artifacts. The setting is similar to the reference, with slight beneficial variations.",aug-11-4.png,dog,2010_005419.jpg
6,0.9,0.7,0.9,0.7,0.7,"The image maintains the core features of a dog but has some visual artifacts. The setting is similar to the reference, with slight beneficial variations.",aug-11-5.png,dog,2010_005419.jpg
7,1.0,1.0,1.0,0.8,0.8,"The image clearly depicts a dog with high visual fidelity and structural integrity. The setting is different from the reference, providing beneficial variations.",aug-11-6.png,dog,2010_005419.jpg
8,0.9,0.7,0.9,0.7,0.7,"The image maintains the core features of a dog but has some visual artifacts. The setting is similar to the reference, with slight beneficial variations.",aug-11-7.png,dog,2010_005419.jpg
9,0.9,0.7,0.9,0.7,0.7,"The image maintains the core features of a dog but has some visual artifacts. The setting is similar to the reference, with slight beneficial variations.",aug-11-8.png,dog,2010_005419.jpg
10,0.9,0.7,0.9,0.7,0.7,"The image maintains the core features of a dog but has some visual artifacts. The setting is similar to the reference, with slight beneficial variations.",aug-11-9.png,dog,2010_005419.jpg
1,0.6,0.4,0.5,0.7,0.6,"The image maintains some core features of a horse, but the visual quality is poor with noticeable artifacts. The structure is somewhat distorted, but it introduces some diversity in pose and context.",aug-12-0.png,horse,2011_003184.jpg
2,0.5,0.4,0.4,0.7,0.6,The image has recognizable horse features but suffers from visual artifacts and structural distortions. It provides some diversity in pose and context.,aug-12-1.png,horse,2011_003184.jpg
3,0.7,0.5,0.6,0.6,0.7,The image maintains key horse features but has some visual and structural issues. It introduces beneficial variations in pose and context.,aug-12-2.png,horse,2011_003184.jpg
4,0.4,0.3,0.3,0.8,0.5,"The image has significant visual and structural distortions, making it less recognizable as a horse. However, it provides high diversity.",aug-12-3.png,horse,2011_003184.jpg
5,0.3,0.2,0.2,0.8,0.4,"The image is heavily distorted and has poor visual quality, making it hard to recognize as a horse. It does introduce some diversity.",aug-12-4.png,horse,2011_003184.jpg
6,0.2,0.3,0.2,0.7,0.3,The image is highly distorted and lacks clear horse features. It provides some diversity but is not beneficial for classification.,aug-12-5.png,horse,2011_003184.jpg
7,0.4,0.3,0.3,0.7,0.5,"The image has noticeable distortions and artifacts, making it less recognizable as a horse. It introduces some diversity in pose and context.",aug-12-6.png,horse,2011_003184.jpg
8,0.1,0.1,0.1,0.9,0.2,The image is highly distorted and does not resemble a horse. It provides high diversity but is not beneficial for classification.,aug-12-7.png,horse,2011_003184.jpg
9,0.1,0.1,0.1,0.9,0.2,The image is highly distorted and does not resemble a horse. It provides high diversity but is not beneficial for classification.,aug-12-8.png,horse,2011_003184.jpg
10,0.3,0.2,0.2,0.8,0.4,"The image is heavily distorted and has poor visual quality, making it hard to recognize as a horse. It does introduce some diversity.",aug-12-9.png,horse,2011_003184.jpg
1,0.9,0.8,0.9,0.7,0.8,"The image maintains the core features of a motorcycle and is visually clear. The structure is intact, and there is a good amount of diversity and beneficial variations in design and color.",aug-13-0.png,motorcycle,2007_004003.jpg
2,0.9,0.7,0.9,0.6,0.7,"The motorcycle is well-represented with clear visual features. The structure is well-maintained, but the background context is slightly less relevant. There is moderate diversity and beneficial variations.",aug-13-1.png,motorcycle,2007_004003.jpg
3,0.8,0.7,0.8,0.6,0.7,"The image maintains the motorcycle class but has a less realistic background. The structure is good, with moderate diversity and beneficial variations.",aug-13-2.png,motorcycle,2007_004003.jpg
4,0.8,0.6,0.8,0.7,0.7,"The motorcycle is recognizable, but the background is less realistic. The structure is intact, with good diversity and beneficial variations.",aug-13-3.png,motorcycle,2007_004003.jpg
5,0.9,0.8,0.9,0.8,0.9,"The image shows a motorcycle in action, maintaining class representation and structural integrity. The visual fidelity is good, with high diversity and beneficial variations in pose and context.",aug-13-4.png,motorcycle,2007_004003.jpg
6,0.9,0.8,0.9,0.8,0.9,The motorcycle is well-represented with clear visual features and good structural integrity. The image shows high diversity and beneficial variations in pose and context.,aug-13-5.png,motorcycle,2007_004003.jpg
7,0.8,0.7,0.8,0.7,0.7,"The motorcycle is recognizable, but the background is less relevant. The structure is good, with moderate diversity and beneficial variations.",aug-13-6.png,motorcycle,2007_004003.jpg
8,0.8,0.7,0.8,0.7,0.7,"The image maintains the motorcycle class but has a less realistic background. The structure is good, with moderate diversity and beneficial variations.",aug-13-7.png,motorcycle,2007_004003.jpg
9,0.8,0.7,0.8,0.7,0.7,"The motorcycle is recognizable, but the background is less relevant. The structure is good, with moderate diversity and beneficial variations.",aug-13-8.png,motorcycle,2007_004003.jpg
10,0.8,0.7,0.8,0.7,0.7,"The image maintains the motorcycle class but has a less realistic background. The structure is good, with moderate diversity and beneficial variations.",aug-13-9.png,motorcycle,2007_004003.jpg
1,0.2,0.3,0.4,0.5,0.4,The image is heavily distorted and the person is not clearly distinguishable. The context is somewhat maintained but the visual quality is poor.,aug-14-0.png,person,2007_002611.jpg
2,0.0,0.1,0.1,0.6,0.2,The image does not represent a person at all. It appears to be a completely different scene with no relevant features.,aug-14-1.png,person,2007_002611.jpg
3,0.0,0.1,0.1,0.6,0.2,The image does not represent a person. It seems to be an abstract or unrelated scene with no distinguishable human features.,aug-14-2.png,person,2007_002611.jpg
4,0.2,0.3,0.4,0.5,0.4,The image is heavily distorted and the person is not clearly distinguishable. The context is somewhat maintained but the visual quality is poor.,aug-14-3.png,person,2007_002611.jpg
5,0.2,0.3,0.4,0.5,0.4,The image is heavily distorted and the person is not clearly distinguishable. The context is somewhat maintained but the visual quality is poor.,aug-14-4.png,person,2007_002611.jpg
6,0.2,0.3,0.4,0.5,0.4,The image is heavily distorted and the person is not clearly distinguishable. The context is somewhat maintained but the visual quality is poor.,aug-14-5.png,person,2007_002611.jpg
7,0.2,0.3,0.4,0.5,0.4,The image is heavily distorted and the person is not clearly distinguishable. The context is somewhat maintained but the visual quality is poor.,aug-14-6.png,person,2007_002611.jpg
8,0.5,0.6,0.7,0.7,0.6,The image shows a person but with significant alterations. The context is somewhat maintained but the visual quality is moderate.,aug-14-7.png,person,2007_002611.jpg
9,0.2,0.3,0.4,0.5,0.4,The image is heavily distorted and the person is not clearly distinguishable. The context is somewhat maintained but the visual quality is poor.,aug-14-8.png,person,2007_002611.jpg
10,0.2,0.3,0.4,0.5,0.4,The image is heavily distorted and the person is not clearly distinguishable. The context is somewhat maintained but the visual quality is poor.,aug-14-9.png,person,2007_002611.jpg
1,0.7,0.8,0.6,0.9,0.8,"The image maintains the potted plant class but has a different plant type. The visual quality is good, but the structure is quite different from the reference.",aug-15-0.png,potted plant,2010_000567.jpg
